distance,x,y,z,U_x,U_y,U_z,p
1.5700925e-20,1.110223e-20,1.110223e-20,0.001,2.8125e-12,3.675e-12,0.19872576,0.026363281
0.00019095477,1.110223e-20,1.110223e-20,0.0011909548,4.0751884e-12,5.1405779e-12,0.19880656,0.026198824
0.00038190955,1.110223e-20,1.110223e-20,0.0013819095,5.3378769e-12,6.6061558e-12,0.19888736,0.026034367
0.00057286432,1.110223e-20,1.110223e-20,0.0015728643,6.6005653e-12,8.0717337e-12,0.19896816,0.02586991
0.0007638191,1.110223e-20,1.110223e-20,0.0017638191,7.8632538e-12,9.5373116e-12,0.19904896,0.025705453
0.00095477387,1.110223e-20,1.110223e-20,0.0019547739,9.1259422e-12,1.1002889e-11,0.19912976,0.025540995
0.0011457286,1.110223e-20,1.110223e-20,0.0021457286,8.346608e-12,1.036451e-11,0.19916372,0.025404936
0.0013366834,1.110223e-20,1.110223e-20,0.0023366834,6.9335427e-12,9.0731784e-12,0.19918314,0.025277689
0.0015276382,1.110223e-20,1.110223e-20,0.0025276382,5.5204774e-12,7.7818467e-12,0.19920256,0.025150442
0.001718593,1.110223e-20,1.110223e-20,0.002718593,4.1074121e-12,6.4905151e-12,0.19922198,0.025023195
0.0019095477,1.110223e-20,1.110223e-20,0.0029095477,2.6943467e-12,5.1991834e-12,0.19924141,0.024895948
0.0021005025,1.110223e-20,1.110223e-20,0.0031005025,1.185804e-12,3.9480528e-12,0.19925695,0.024769505
0.0022914573,1.110223e-20,1.110223e-20,0.0032914573,-4.0866834e-13,2.733103e-12,0.19926899,0.024643786
0.0024824121,1.110223e-20,1.110223e-20,0.0034824121,-2.0031407e-12,1.5181533e-12,0.19928104,0.024518066
0.0026733668,1.110223e-20,1.110223e-20,0.0036733668,-3.5976131e-12,3.0320352e-13,0.19929308,0.024392347
0.0028643216,1.110223e-20,1.110223e-20,0.0038643216,-5.1920854e-12,-9.1174623e-13,0.19930513,0.024266628
0.0030552764,1.110223e-20,1.110223e-20,0.0040552764,-6.4486809e-12,-1.4661432e-12,0.19931945,0.024139376
0.0032462312,1.110223e-20,1.110223e-20,0.0042462312,-6.8759422e-12,-3.9918342e-13,0.19933933,0.024008364
0.0034371859,1.110223e-20,1.110223e-20,0.0044371859,-7.3032035e-12,6.6777638e-13,0.19935922,0.023877351
0.0036281407,1.110223e-20,1.110223e-20,0.0046281407,-7.7304648e-12,1.7347362e-12,0.1993791,0.023746338
0.0038190955,1.110223e-20,1.110223e-20,0.0048190955,-8.1577261e-12,2.801696e-12,0.19939899,0.023615326
0.0040100503,1.110223e-20,1.110223e-20,0.0050100503,-8.5579774e-12,3.9253141e-12,0.19941868,0.023484401
0.004201005,1.110223e-20,1.110223e-20,0.005201005,-8.4720477e-12,6.0687814e-12,0.19943492,0.023355055
0.0043919598,1.110223e-20,1.110223e-20,0.0053919598,-8.3861181e-12,8.2122487e-12,0.19945117,0.02322571
0.0045829146,1.110223e-20,1.110223e-20,0.0055829146,-8.3001884e-12,1.0355716e-11,0.19946741,0.023096364
0.0047738693,1.110223e-20,1.110223e-20,0.0057738693,-8.2142588e-12,1.2499183e-11,0.19948366,0.022967019
0.0049648241,1.110223e-20,1.110223e-20,0.0059648241,-8.1283291e-12,1.4642651e-11,0.1994999,0.022837673
0.0051557789,1.110223e-20,1.110223e-20,0.0061557789,-6.8292714e-12,1.331809e-11,0.19951409,0.022708887
0.0053467337,1.110223e-20,1.110223e-20,0.0063467337,-5.2562814e-12,1.1210427e-11,0.19952782,0.022580227
0.0055376884,1.110223e-20,1.110223e-20,0.0065376884,-3.6832915e-12,9.1027638e-12,0.19954155,0.022451567
0.0057286432,1.110223e-20,1.110223e-20,0.0067286432,-2.1103015e-12,6.9951005e-12,0.19955528,0.022322907
0.005919598,1.110223e-20,1.110223e-20,0.006919598,-5.3731156e-13,4.8874372e-12,0.19956901,0.022194247
0.0061105528,1.110223e-20,1.110223e-20,0.0071105528,4.4145728e-13,2.4646985e-12,0.19958219,0.022065522
0.0063015075,1.110223e-20,1.110223e-20,0.0073015075,9.8806532e-13,-1.8718593e-13,0.19959498,0.021936749
0.0064924623,1.110223e-20,1.110223e-20,0.0074924623,1.5346734e-12,-2.8390704e-12,0.19960776,0.021807977
