model,global_s_mm,distance_from_inlet_mm,pressure_loss_Pa,pressure_loss_mmHg,data_type
Analytical (Poiseuille),31.246457620106476,11.574859427478362,103.84520283946821,0.7789052282404121,model
Analytical (Poiseuille),31.327970714666186,11.656372522038073,104.57650708481661,0.7843904763266124,model
Analytical (Poiseuille),31.40948380922589,11.737885616597776,105.30781133016495,0.7898757244128123,model
Analytical (Poiseuille),31.4909969037856,11.819398711157486,106.03911557551335,0.7953609724990125,model
Analytical (Poiseuille),31.572509998345303,11.90091180571719,106.77041982086169,0.8008462205852124,model
Analytical (Poiseuille),31.654023092905014,11.9824249002769,107.50172406621009,0.8063314686714127,model
Analytical (Poiseuille),31.735536187464717,12.063937994836603,108.23302831155843,0.8118167167576126,model
Analytical (Poiseuille),31.817049282024428,12.145451089396314,108.96433255690683,0.8173019648438129,model
Analytical (Poiseuille),31.89856237658413,12.226964183956017,109.69563680225517,0.8227872129300128,model
Analytical (Poiseuille),31.98007547114384,12.308477278515728,110.42694104760356,0.8282724610162131,model
Analytical (Poiseuille),32.061588565703545,12.389990373075431,111.1582452929519,0.833757709102413,model
Analytical (Poiseuille),32.143101660263255,12.471503467635142,111.8895495383003,0.8392429571886133,model
Analytical (Poiseuille),32.22461475482296,12.553016562194845,112.62085378364864,0.8447282052748132,model
Analytical (Poiseuille),32.30612784938266,12.634529656754548,113.35215802899698,0.8502134533610131,model
Analytical (Poiseuille),32.38764094394237,12.716042751314259,114.08346227434538,0.8556987014472134,model
Analytical (Poiseuille),32.46915403850208,12.797555845873969,114.81476651969378,0.8611839495334137,model
Analytical (Poiseuille),32.550667133061786,12.879068940433672,115.54607076504212,0.8666691976196136,model
Analytical (Poiseuille),32.63218022762149,12.960582034993376,116.27737501039046,0.8721544457058135,model
Analytical (Poiseuille),32.7136933221812,13.042095129553086,117.00867925573885,0.8776396937920138,model
Analytical (Poiseuille),32.79520641674091,13.123608224112797,117.73998350108725,0.883124941878214,model
Analytical (Poiseuille),32.876719511300614,13.2051213186725,118.47128774643559,0.8886101899644139,model
Analytical (Poiseuille),32.95823260586032,13.286634413232203,119.20259199178392,0.8940954380506136,model
Analytical (Poiseuille),33.03974570042003,13.368147507791914,119.93389623713233,0.8995806861368141,model
