segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
32,0.0086723249405622,0.0089496066793799,0.00027728154,0.0010198442681975,0.002039688536395,0.001999186336144061,0.002019351116726814,3.267515011377433e-06,345.4764000000121,2284513.297880449
33,0.0089496066793799,0.0092211226001381,0.00027151554,0.0009997182974731,0.0019994365949462,0.002019351116726814,0.0020298808864747343,3.139822913717296e-06,413.8121299999994,2422659.035041091
34,0.0092211226001381,0.0094905439764261,0.00026942178,0.0010300451614079,0.0020600903228158,0.0020298808864747343,0.0020601251722302477,3.3332079228203208e-06,316.07962,2133122.581582287
35,0.0094905439764261,0.0097642987966537,0.00027375462,0.0010300802910859,0.0020601605821718,0.0020601251722302477,0.0019809357233328702,3.3334352847309253e-06,124.63958999999993,2167131.736536012
36,0.0097642987966537,0.010041669011116,0.00027736975,0.000950332283289,0.001900664566578,0.0019809357233328702,0.0017726363439295144,2.8372711243406845e-06,112.31837500002229,3030856.341327688
37,0.010041669011116,0.0103208106011152,0.0002791418,0.0008218952459052,0.0016437904918104,0.0017726363439295144,0.0016051547079212979,2.1221828933445267e-06,235.5918,5452141.803932701
38,0.0103208106011152,0.0106091769412159,0.0002883659,0.0007826210665492,0.0015652421330984,0.0016051547079212979,0.0016277785313070082,1.924212097682228e-06,292.5342699999899,6850873.531931878
39,0.0106091769412159,0.0109148668125271,0.00030568964,0.0008470358935054,0.0016940717870108,0.0016277785313070082,0.0016754963705733967,2.2539978682041326e-06,330.76819999999975,5292753.068621493
40,0.0109148668125271,0.0112343374639749,0.00031947048,0.0008280417786519,0.0016560835573038,0.0016754963705733967,0.0016215445689308065,2.154043015796381e-06,359.73776,6056613.850962122
41,0.0112343374639749,0.0115551780909299,0.00032084028,0.0007934287340739,0.0015868574681478,0.0016215445689308065,0.0016149707315803311,1.9777241718803944e-06,379.62598,7215482.497888345
42,0.0115551780909299,0.0118673192337155,0.0003121407,0.0008211608567318,0.0016423217134636,0.0016149707315803311,0.0016440234537342573,2.1183921137755955e-06,394.28687,6118509.482446508
