segment_id,length_m,diameter_m,area_m2,curvature_mean_per_m,resistance_segment_raw,resistance_segment_kR,recommended_division_pts,wall_stiffness_E_Pa,wall_thickness_m,pwv_m_per_s,outlet_resistance_Pa_s_m3,outlet_compliance_m3_per_Pa
106,0.0003020272,0.0020799466444368,3.397772290055545e-06,193.78256,2301258.6476406204,2530436.7685047872,5,,,,,
107,0.00032006548,0.0019964612615026,3.130485214006124e-06,213.31699,2872919.2798210736,3159028.032793656,5,,,,,
108,0.00033390804,0.0018813558612778,2.779916702556569e-06,170.07266000000735,3800766.854666504,4179278.2429836458,5,,,,,
109,0.00033263362,0.0016185857471964,2.0576016758674217e-06,190.87737999999652,6911167.831304014,7599438.338480173,5,,,,,
110,0.00032108426,0.0014676617157072,1.69177192199193e-06,257.76269999999005,9868322.044579385,10851090.10699508,5,,,,,
111,0.000303512,0.001423785367122,1.592131488543125e-06,281.49426,10532365.989204526,11581264.968089106,5,,,,,
112,0.00028845112,0.0014815958705674,1.7240481830457325e-06,226.9146399999973,8536529.210126609,9386666.470918516,5,,,,,
113,0.00028329142,0.0015981325530346,2.005928631128496e-06,115.24572999998783,6193132.567601381,6809895.262034157,5,,,,,
114,0.00028217037,0.0017341226975112,2.361834850683634e-06,44.45579,4449592.755072611,4892719.522793335,5,,,,,
115,0.00028237727,0.0018292313219972,2.628010764519376e-06,62.701912,3596527.464744024,3954699.027445793,5,,,,,
116,0.0002877704,0.0018623256037294,2.723962406483492e-06,90.24572,3411550.8058354813,3751300.8829142177,5,,,,,
117,0.0002932333,0.001994301015288,3.1237142735827407e-06,117.59012999999543,2643495.620767802,2906756.4930306184,5,,,,,
118,0.0002917144,0.0021554869725472,3.6490573262768463e-06,209.05264,1927100.551758671,2119016.955254277,5,,,,,
119,0.00028900825,0.002266052928092,4.033016327641049e-06,260.0224299999971,1562997.1277385645,1718653.1401639674,5,,,,,
120,0.0002906236,0.0023788838622498,4.444637659483118e-06,244.88144000000037,1294094.7337702245,1422971.2508056923,5,,,,,
121,0.00014529817,0.0024405644745942,4.678110241927079e-06,269.1069000000069,584019.2566661034,642180.6614818766,5,,,,,
122,0.00044078362,0.0024821741295154,4.838986060959883e-06,305.39557,1655863.9075077295,1820768.351916223,5,,,,,
