s_m,r_m,area_m2,dA_ds,kappa_per_m,Rc_m,r_mis_m,r_voreen_m
0.012587244156748056,0.0008233923618128686,2.1299212211722326e-06,0.0014212176530913694,245.22766,0.0040778434,0.0006845492872885546,0.0008856728076934814
0.01285996800288558,0.0009374611635740373,2.7609366575003377e-06,0.0067819716150017105,201.9748,0.004951113,0.0007703865669280968,0.0009574053585529327
0.013150398153811693,0.0013948819812829856,6.11258344827063e-06,0.006392227206040668,451.9146,0.0022128073,0.0009511124736620586,0.0010958133637905122
0.013447047211229801,0.0014327487808291498,6.44896422658439e-06,-0.0004076694545862153,830.55884,0.0012040086,0.0011176007889843358,0.0012238286137580873
0.013717539608478546,0.0013771852946075466,5.958468203492002e-06,0.00021522210950237174,1077.8022,0.000927814,0.0011053011755793407,0.0012522654533386232
0.013966018334031105,0.001435635816029171,6.474980155268263e-06,0.000684575916124754,1201.9777,0.0008319622,0.0012896902439027637,0.0013866270780563356
0.014212267939001322,0.0014164793565331032,6.303334751990517e-06,0.0068880058990008625,1128.2145,0.0008863563,0.0012144103882479388,0.0013275275230407715
0.014487064443528652,0.0018301069462524943,1.0522109366052691e-05,-0.0015561881385752277,653.3064,0.0015306753,0.0010691975951555848,0.00126606947183609
0.014776617288589478,0.0012505025129783966,4.91268604224997e-06,-0.009141485163896406,241.42331,0.0041421023,0.001020203992962905,0.001270755171775818
0.015062788035720587,0.0012853544923732494,5.1903388577449264e-06,0.0012070656263029628,166.51326,0.006005528,0.0010509691641016677,0.0013061179518699647
0.015358421485871077,0.0013374409038464478,5.619518114020462e-06,0.0006889838172164098,78.79095,0.0126918135,0.0011442123002914353,0.0013455242514610292
0.015657450072467327,0.001334501272856492,5.594842399042917e-06,-0.0011544997771037301,38.394863,0.026045151,0.0011520269345220524,0.0013395000100135804
0.015953118912875652,0.0012539870607732734,4.940102764131078e-06,-0.0009399985783926871,86.047775,0.011621451,0.0010623452632723357,0.00130132395029068
0.016244687139987946,0.0012656547962031793,5.032460921515934e-06,0.0006785250611321125,159.79309,0.006258093,0.001060060034293322,0.0013099926710128783
0.016532638110220432,0.0013026207879775623,5.330720128156964e-06,0.00015207994977791718,272.66998,0.003667437,0.0010842256802168055,0.001303622841835022
0.016818980686366558,0.0012769436657828447,5.12263425158412e-06,6.657519629509577e-05,324.1181,0.0030852952,0.0010377553479806387,0.0012097021341323853
0.01711068768054247,0.0013083597268534124,5.3777945616918324e-06,0.0008410725610107465,268.90826,0.0037187403,0.0010648473489825259,0.0011897199153900148
0.01741163246333599,0.0013375536977746803,5.620466005249147e-06,0.0003466864888970727,173.74536,0.0057555493,0.0011419969632264423,0.0013053842186927795
0.017717594280838966,0.001333153839494941,5.583549983533651e-06,-4.3239792662312995e-05,80.53394,0.012417125,0.00112772900059472,0.0013776826858520508
0.01802349928766489,0.001334400828784322,5.594000215350396e-06,-0.00011847586741771214,82.33971,0.012144809,0.001127854535242209,0.0013523097038269044
0.018327224999666214,0.0013245828604081368,5.511986370017895e-06,-0.0005547484660596118,163.79568,0.006105167,0.0011514947550273218,0.001349280834197998
0.018628953956067562,0.0012938601027427915,5.259258471485187e-06,-0.0005310600596040299,185.37494,0.0053944723,0.0010891195345350813,0.0013265577554702759
0.01892928685992956,0.0012854860581860419,5.191401453477184e-06,-0.0003290169038429429,180.35751,0.0055445433,0.0010385629184209342,0.0012865751385688782
0.01922617480158806,0.0012695480261178842,5.06346884145847e-06,-0.0010182891821339593,185.00223,0.0054053403,0.0010297891294464305,0.001256986677646637
0.019516239874064922,0.0012102670928372595,4.6016366427243596e-06,-0.001263567500350885,170.39972,0.005868554,0.0009915309528353052,0.001155484437942505
0.019798453897237778,0.001174716105730082,4.335265692203061e-06,-0.0001664240364679069,133.4193,0.0074951677,0.001010133571567605,0.0011817104816436769
0.020075873471796513,0.0011969742700110196,4.501108715929581e-06,0.0004838497574177047,86.03754,0.011622834,0.001009104364782286,0.0012789189219474793
0.020352555438876152,0.0012105167710696515,4.603535474844813e-06,-0.00033271164377038885,55.77591,0.017928887,0.0010192018887450866,0.00124423748254776
