"U:0","U:1","U:2","p","Cell Type"
6.92992005e-03,2.34660003e-02,-5.95364021e-03,8.81387964e-02,5
-5.43285976e-04,4.44030995e-03,-9.23398999e-04,8.86602998e-02,5
-5.43285976e-04,4.44030995e-03,-9.23398999e-04,8.86602998e-02,5
8.74323014e-05,4.42225020e-03,-7.85748009e-04,8.84879008e-02,5
8.74323014e-05,4.42225020e-03,-7.85748009e-04,8.84879008e-02,5
8.74323014e-05,4.42225020e-03,-7.85748009e-04,8.84879008e-02,5
8.74323014e-05,4.42225020e-03,-7.85748009e-04,8.84879008e-02,5
-2.34955005e-04,4.68037004e-04,1.08619002e-04,8.85848999e-02,5
-2.34955005e-04,4.68037004e-04,1.08619002e-04,8.85848999e-02,5
-7.01176992e-04,2.11154995e-03,5.65728005e-05,8.87214020e-02,5
-7.01176992e-04,2.11154995e-03,5.65728005e-05,8.87214020e-02,5
-7.45627985e-05,1.41056007e-04,4.42044002e-05,8.85929987e-02,5
-9.97547977e-05,1.33916998e-04,2.69896009e-05,8.85528028e-02,5
2.08340003e-03,1.43923005e-03,-2.85979989e-03,8.13041031e-02,5
9.32684988e-02,-2.86076993e-01,7.51935020e-02,7.54488036e-02,5
2.77197990e-03,-4.05378006e-02,-1.25748001e-03,7.17125013e-02,5
2.77197990e-03,-4.05378006e-02,-1.25748001e-03,7.17125013e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
9.36755016e-02,-2.75166988e-01,6.00661002e-02,7.54048005e-02,5
8.93741008e-03,-1.60782002e-02,-1.22095004e-03,6.95990995e-02,5
8.93741008e-03,-1.60782002e-02,-1.22095004e-03,6.95990995e-02,5
1.20108999e-01,-3.86325985e-01,7.15833977e-02,7.67735019e-02,5
1.20108999e-01,-3.86325985e-01,7.15833977e-02,7.67735019e-02,5
1.20108999e-01,-3.86325985e-01,7.15833977e-02,7.67735019e-02,5
-1.15786004e-03,-4.62482981e-02,-8.25266994e-04,7.41833001e-02,5
-1.15786004e-03,-4.62482981e-02,-8.25266994e-04,7.41833001e-02,5
1.34003997e-01,-4.45210010e-01,7.48822019e-02,8.04139972e-02,5
1.34003997e-01,-4.45210010e-01,7.48822019e-02,8.04139972e-02,5
-1.88052002e-03,-6.06069006e-02,-1.18769996e-03,6.70202971e-02,5
-1.88052002e-03,-6.06069006e-02,-1.18769996e-03,6.70202971e-02,5
1.70232996e-01,-5.03417015e-01,8.63062963e-02,8.29671994e-02,5
1.70232996e-01,-5.03417015e-01,8.63062963e-02,8.29671994e-02,5
1.70232996e-01,-5.03417015e-01,8.63062963e-02,8.29671994e-02,5
1.70232996e-01,-5.03417015e-01,8.63062963e-02,8.29671994e-02,5
-8.08432978e-03,-5.42431995e-02,2.65823997e-04,7.95015022e-02,5
-8.08432978e-03,-5.42431995e-02,2.65823997e-04,7.95015022e-02,5
2.05158994e-01,-5.70026994e-01,1.08433999e-01,7.25286976e-02,5
2.05158994e-01,-5.70026994e-01,1.08433999e-01,7.25286976e-02,5
2.05158994e-01,-5.70026994e-01,1.08433999e-01,7.25286976e-02,5
1.45159006e-01,-4.61450011e-01,6.81653023e-02,9.03519019e-02,5
1.45159006e-01,-4.61450011e-01,6.81653023e-02,9.03519019e-02,5
-4.01774980e-03,-3.09618004e-02,-9.14491015e-04,8.51344988e-02,5
1.70955993e-02,-4.16410007e-02,5.81421005e-03,8.47050995e-02,5
1.70955993e-02,-4.16410007e-02,5.81421005e-03,8.47050995e-02,5
1.70955993e-02,-4.16410007e-02,5.81421005e-03,8.47050995e-02,5
1.75861001e-01,-2.68148005e-01,6.21325001e-02,8.37346017e-02,5
1.75861001e-01,-2.68148005e-01,6.21325001e-02,8.37346017e-02,5
1.17084002e-02,-7.66993016e-02,-2.92675011e-03,8.50685015e-02,5
1.17084002e-02,-7.66993016e-02,-2.92675011e-03,8.50685015e-02,5
1.17084002e-02,-7.66993016e-02,-2.92675011e-03,8.50685015e-02,5
1.04385003e-01,-2.29709998e-01,6.79665012e-03,8.52423012e-02,5
1.04385003e-01,-2.29709998e-01,6.79665012e-03,8.52423012e-02,5
1.36529999e-02,-2.28161998e-02,-1.07519999e-02,8.46512020e-02,5
2.30183005e-02,-1.85038000e-02,-4.43870984e-02,8.47631022e-02,5
2.30183005e-02,-1.85038000e-02,-4.43870984e-02,8.47631022e-02,5
-5.02631010e-04,-2.44124001e-03,7.24817999e-03,8.91717970e-02,5
-5.02631010e-04,-2.44124001e-03,7.24817999e-03,8.91717970e-02,5
-5.02631010e-04,-2.44124001e-03,7.24817999e-03,8.91717970e-02,5
6.92152011e-04,-2.68882997e-02,-5.25751011e-03,8.47276971e-02,5
6.92152011e-04,-2.68882997e-02,-5.25751011e-03,8.47276971e-02,5
6.92152011e-04,-2.68882997e-02,-5.25751011e-03,8.47276971e-02,5
6.92152011e-04,-2.68882997e-02,-5.25751011e-03,8.47276971e-02,5
5.76364994e-03,-1.39440000e-02,-7.38561992e-03,8.46662000e-02,5
5.76364994e-03,-1.39440000e-02,-7.38561992e-03,8.46662000e-02,5
5.76364994e-03,-1.39440000e-02,-7.38561992e-03,8.46662000e-02,5
5.76364994e-03,-1.39440000e-02,-7.38561992e-03,8.46662000e-02,5
5.76364994e-03,-1.39440000e-02,-7.38561992e-03,8.46662000e-02,5
-1.70327001e-03,8.40655994e-04,8.64969008e-03,8.90524983e-02,5
-1.70327001e-03,8.40655994e-04,8.64969008e-03,8.90524983e-02,5
2.66367989e-03,1.59393009e-02,-7.77785014e-03,8.85092989e-02,5
2.66367989e-03,1.59393009e-02,-7.77785014e-03,8.85092989e-02,5
1.21856004e-03,1.06418002e-02,-4.16246010e-03,8.85694027e-02,5
1.21856004e-03,1.06418002e-02,-4.16246010e-03,8.85694027e-02,5
1.21856004e-03,1.06418002e-02,-4.16246010e-03,8.85694027e-02,5
8.54870013e-04,-3.75405001e-03,-1.20288995e-03,8.37434009e-02,5
8.54870013e-04,-3.75405001e-03,-1.20288995e-03,8.37434009e-02,5
8.77398998e-04,-1.34063000e-03,-1.38489995e-03,8.41803998e-02,5
8.77398998e-04,-1.34063000e-03,-1.38489995e-03,8.41803998e-02,5
5.33598009e-03,-1.87979005e-02,-2.44020994e-04,8.40974972e-02,5
5.33598009e-03,-1.87979005e-02,-2.44020994e-04,8.40974972e-02,5
6.87760010e-04,-7.99641013e-04,-1.12773001e-03,8.39682966e-02,5
6.87760010e-04,-7.99641013e-04,-1.12773001e-03,8.39682966e-02,5
4.11476986e-03,-1.42697999e-02,-8.08617973e-04,8.38067979e-02,5
4.11476986e-03,-1.42697999e-02,-8.08617973e-04,8.38067979e-02,5
1.09064998e-03,-5.36411023e-03,-1.44835003e-03,8.39418024e-02,5
1.09064998e-03,-5.36411023e-03,-1.44835003e-03,8.39418024e-02,5
3.43913995e-02,-7.55349994e-02,2.89347991e-02,6.00841008e-02,5
