"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.010691,-0.027356,-0.0064972,0.0052343,-0.017994,-0.0013083,0.31323
0.010637,-0.027549,-0.0078886,0.23253,-0.30353,-0.017488,0.28673
0.010577,-0.027607,-0.0079729,0.21407,-0.28299,-0.014184,0.29056
0.010371,-0.027709,-0.0073474,0.38998,-0.46895,-0.037448,0.29282
0.010125,-0.027806,-0.0063577,0.15746,-0.15187,-0.010868,0.30457
0.01009,-0.027837,-0.0063817,0.17302,-0.16644,-0.011204,0.30661
0.010141,-0.027794,-0.006371,0.19223,-0.19067,-0.013625,0.30148
0.0099572,-0.028128,-0.0080893,0.090602,-0.062522,-0.0091336,0.3045
0.0099332,-0.028148,-0.0080871,0.065451,-0.041878,-0.0053048,0.30484
0.0098648,-0.028183,-0.00789,0.19052,-0.17618,-0.019039,0.30929
0.0098315,-0.028215,-0.0079321,0.15386,-0.12005,-0.018008,0.31124
0.0098199,-0.028215,-0.0078438,0.20289,-0.20412,-0.0194,0.31191
0.0096118,-0.028363,-0.0076269,0.12022,-0.10488,-0.025607,0.32014
0.0098659,-0.028154,-0.0076297,0.26522,-0.29156,-0.019429,0.31143
0.0098051,-0.028198,-0.0075673,0.25741,-0.28343,-0.01798,0.31384
0.0098114,-0.028205,-0.0076843,0.24079,-0.26172,-0.019029,0.313
0.010642,-0.02749,-0.0073775,0.21804,-0.32983,-0.049722,0.2991
0.010641,-0.027464,-0.0071219,0.19741,-0.30978,-0.045951,0.30358
0.010425,-0.027749,-0.0081273,0.08508,-0.095122,-0.0044183,0.29521
0.010376,-0.027789,-0.0081247,0.063496,-0.064601,-0.0037153,0.29493
0.0096145,-0.028279,-0.0068623,0.056334,-0.029747,0.0029424,0.32142
0.0096187,-0.028275,-0.0068622,0.11412,-0.094706,0.0030397,0.32057
0.0096154,-0.028273,-0.0068167,0.068453,-0.045867,0.0029727,0.3212
0.0096179,-0.028249,-0.0066151,0.053267,-0.026855,0.010212,0.32036
0.0095902,-0.028272,-0.006616,0.040959,-0.020718,0.0089831,0.32052
0.010338,-0.027636,-0.0064078,0.17733,-0.23563,-0.011624,0.30261
0.0096545,-0.028375,-0.0080663,0.036553,-0.011137,-0.0045926,0.31533
0.0096752,-0.028358,-0.0080737,0.039764,-0.013543,-0.0049247,0.31405
0.009807,-0.028251,-0.0080819,0.050116,-0.026698,-0.002171,0.31023
0.0098126,-0.02825,-0.0081134,0.015746,-0.0073249,-0.00064075,0.30919
0.010693,-0.027532,-0.0081573,0.016589,-0.018022,0.00051616,0.2875
0.01057,-0.027624,-0.008074,0.12865,-0.15006,-0.0044749,0.28991
0.010579,-0.027616,-0.0080747,0.13334,-0.16708,-0.0051366,0.28992
0.010582,-0.027624,-0.0081723,0.033671,-0.035202,-0.00036302,0.28997
0.010566,-0.027638,-0.008174,0.043584,-0.043077,-0.00082007,0.29037
0.010704,-0.027515,-0.0080852,0.093673,-0.11712,0.0033461,0.28636
0.010828,-0.027409,-0.0080436,0.030693,-0.040208,0.0027529,0.28843
0.010817,-0.027418,-0.0080462,0.032033,-0.044024,0.0027192,0.29028
0.0096742,-0.028332,-0.007823,0.12696,-0.087497,-0.030762,0.31607
0.0095507,-0.028447,-0.0079449,0.016364,-0.0039779,-0.0019866,0.31892
0.009597,-0.02841,-0.0079516,0.03903,-0.01398,-0.0080041,0.3183
0.009574,-0.02843,-0.0079645,0.012531,-0.0024381,-0.0013422,0.31881
0.0096751,-0.028345,-0.007948,0.09439,-0.044643,-0.019184,0.3145
