"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0057555,-0.02179,-0.0064948,0.17448,-0.33716,-0.080376,0.42107
0.0056895,-0.021832,-0.0063916,0.17032,-0.31757,-0.079027,0.42238
0.0056795,-0.021833,-0.0065702,0.16664,-0.33727,-0.072868,0.4216
0.0049898,-0.022259,-0.0059819,0.041908,-0.097762,-0.083894,0.42359
0.004993,-0.022257,-0.0059822,0.062751,-0.13316,-0.085474,0.42534
0.0049905,-0.022257,-0.0060457,0.065027,-0.14114,-0.082709,0.42452
0.0051204,-0.022181,-0.0059898,0.084893,-0.16912,-0.078791,0.42557
0.0051779,-0.022149,-0.0059241,0.091616,-0.17455,-0.077655,0.42636
0.0051751,-0.022147,-0.0060452,0.099504,-0.19254,-0.075739,0.4238
0.0053743,-0.02203,-0.0059966,0.11747,-0.2176,-0.07119,0.42372
0.0053839,-0.022024,-0.0060053,0.12823,-0.2358,-0.068858,0.42206
0.0053824,-0.022026,-0.0059889,0.11858,-0.22051,-0.070198,0.42409
0.0053598,-0.022039,-0.0059825,0.10751,-0.19954,-0.071711,0.4252
0.0053571,-0.02204,-0.006011,0.11887,-0.22058,-0.07382,0.42304
0.0054237,-0.022004,-0.0058751,0.11443,-0.22192,-0.065326,0.42613
0.0055017,-0.021958,-0.0058772,0.12311,-0.26144,-0.067728,0.42467
0.0055572,-0.021924,-0.0059178,0.13538,-0.27594,-0.077,0.42318
0.0055548,-0.021927,-0.0058411,0.10928,-0.2615,-0.062075,0.42501
0.0059983,-0.02166,-0.0059965,0.01685,-0.04509,-0.00066861,0.41643
0.0049862,-0.022275,-0.0054867,0.017636,-0.027645,-0.018529,0.43263
0.0049856,-0.022275,-0.0054867,0.0091994,-0.011155,-0.010303,0.4329
0.0049857,-0.022276,-0.0054659,0.012722,-0.017218,-0.011015,0.43288
0.0053691,-0.022048,-0.0054869,0.063808,-0.11572,-0.02583,0.43085
0.0053808,-0.02204,-0.0054987,0.078562,-0.15093,-0.035199,0.42995
0.0053824,-0.02204,-0.0054705,0.063174,-0.10726,-0.017441,0.43035
0.005342,-0.022065,-0.0054583,0.051288,-0.088555,-0.017499,0.43159
0.0053484,-0.022059,-0.0055061,0.06638,-0.12517,-0.03596,0.43127
0.0056336,-0.02189,-0.0054921,0.063983,-0.1672,-0.024025,0.42636
0.0055983,-0.021913,-0.0054331,0.051131,-0.14301,-0.017233,0.42827
0.0056027,-0.021907,-0.0055394,0.066987,-0.1986,-0.026077,0.42757
0.0055025,-0.021972,-0.0053572,0.048578,-0.12666,-0.014618,0.42925
0.0054484,-0.022004,-0.0053558,0.051278,-0.11036,-0.013353,0.43013
0.0055355,-0.021952,-0.0053781,0.051131,-0.14301,-0.017233,0.42827
0.0054898,-0.021979,-0.0053647,0.050364,-0.14945,-0.016003,0.43036
0.0047489,-0.022352,-0.0077448,0.022877,-0.016364,-0.00078877,0.41688
0.0051739,-0.022102,-0.0076934,0.096097,-0.14054,-0.050664,0.40851
0.0057485,-0.021759,-0.0077587,0.043474,-0.17104,-0.026503,0.40856
0.0057547,-0.021755,-0.0077583,0.057533,-0.19281,-0.024001,0.41188
0.0057497,-0.021758,-0.0077576,0.07222,-0.23506,-0.043007,0.40891
0.006191,-0.021496,-0.0077641,0.020796,-0.10128,-0.0092088,0.42173
0.0061389,-0.021527,-0.0077612,0.026556,-0.12326,-0.0086527,0.41829
0.0061226,-0.021537,-0.0077455,0.049764,-0.18481,-0.019254,0.41654
0.0063462,-0.021405,-0.0077202,0.0031785,-0.014924,-7.7008e-05,0.42379
0.006269,-0.021453,-0.0076343,0.030036,-0.096684,-0.020041,0.42464
0.0062568,-0.021461,-0.0076228,0.046375,-0.1307,-0.034971,0.42638
0.004671,-0.022424,-0.0068278,0.071234,-0.084017,-0.052839,0.42203
0.0046108,-0.022462,-0.0067478,0.06244,-0.071567,-0.04772,0.42255
0.0046571,-0.022433,-0.0068125,0.071234,-0.084017,-0.052839,0.42203
0.00466,-0.022435,-0.0066794,0.065683,-0.0841,-0.053237,0.42255
0.0048612,-0.022314,-0.0067465,0.088876,-0.13064,-0.061565,0.41973
0.0046708,-0.022429,-0.0066674,0.065683,-0.0841,-0.053237,0.42255
0.0047418,-0.022402,-0.0061123,0.019254,-0.021437,-0.014244,0.42306
0.006394,-0.021418,-0.0062366,0.009255,-0.051157,0.0018654,0.42783
0.0062663,-0.021496,-0.0061562,0.01342,-0.066999,-0.00036009,0.42482
0.0062656,-0.021498,-0.0061052,0.014526,-0.070666,-0.0022836,0.42253
0.0062677,-0.021497,-0.0061051,0.0047172,-0.033236,0.00012989,0.42408
0.0057582,-0.02181,-0.0057397,0.024431,-0.09186,-0.023932,0.42345
0.0057926,-0.02179,-0.0057205,0.014386,-0.05239,-0.013506,0.42293
0.0051949,-0.02216,-0.0051842,0.0046245,-0.004939,-0.00036316,0.43168
0.0052352,-0.02206,-0.0078748,0.0102,-0.019593,-0.014911,0.40512
0.0049954,-0.022206,-0.0077605,0.0398,-0.032812,-0.015503,0.40864
0.0049189,-0.02225,-0.0077851,0.041374,-0.032616,-0.013886,0.40996
0.0053535,-0.021994,-0.0077398,0.076795,-0.14136,-0.051661,0.40716
0.0053742,-0.021981,-0.0077424,0.058738,-0.12432,-0.048209,0.40502
0.0060028,-0.021605,-0.0078657,0.0060396,-0.0451,0.00070489,0.41851
0.0059482,-0.021641,-0.0077227,0.057692,-0.19319,-0.01355,0.416
0.0046059,-0.022444,-0.0075188,0.048122,-0.042561,-0.0084321,0.41769
0.0047371,-0.022366,-0.0075121,0.091356,-0.093865,-0.021606,0.41658
0.0047693,-0.022346,-0.0075568,0.08973,-0.08697,-0.019774,0.41502
0.0047647,-0.022351,-0.0074743,0.098539,-0.10951,-0.028639,0.4162
0.0048628,-0.022306,-0.0070006,0.095453,-0.12622,-0.052959,0.41833
0.0044768,-0.022546,-0.0066076,0.02223,-0.019289,-0.017136,0.42415
0.0044865,-0.02254,-0.0066065,0.033157,-0.034986,-0.028992,0.42418
0.0046155,-0.022467,-0.0064889,0.04489,-0.052202,-0.03853,0.42347
0.0052458,-0.02211,-0.0058732,0.097946,-0.18325,-0.07246,0.42669
0.0051918,-0.022141,-0.0059118,0.091616,-0.17455,-0.077655,0.42636
0.0052762,-0.022091,-0.005901,0.10751,-0.19954,-0.071711,0.4252
0.0052721,-0.022095,-0.0058393,0.096782,-0.17926,-0.069704,0.42809
0.0049866,-0.022267,-0.0057461,0.033953,-0.068616,-0.06211,0.43017
0.0049842,-0.022269,-0.0057461,0.020277,-0.035442,-0.046053,0.43023
0.0049867,-0.022266,-0.0057889,0.023494,-0.044164,-0.055501,0.42922
0.0057546,-0.021804,-0.0060043,0.13086,-0.2268,-0.082484,0.41662
0.0057302,-0.021818,-0.0060281,0.15801,-0.28506,-0.095992,0.41897
0.0053721,-0.022038,-0.0057494,0.09499,-0.17766,-0.060956,0.42853
0.0053811,-0.022033,-0.0057581,0.11052,-0.2052,-0.068,0.42673
0.0053514,-0.02205,-0.0057658,0.096782,-0.17926,-0.069704,0.42809
0.0053807,-0.022034,-0.0057401,0.095331,-0.18192,-0.053176,0.42872
0.0053504,-0.022052,-0.0057322,0.081738,-0.15261,-0.054948,0.43007
0.0061173,-0.021589,-0.0060171,0.0036284,-0.022284,-0.00091105,0.42043
0.0051715,-0.022163,-0.0055507,0.050745,-0.095588,-0.035325,0.43215
0.0052417,-0.022127,-0.0053525,0.041763,-0.074058,-0.014014,0.43185
0.0052755,-0.022106,-0.0053902,0.051288,-0.088555,-0.017499,0.43159
0.0049937,-0.022276,-0.0052938,0.0030309,-0.0039092,-0.001465,0.43283
0.0057923,-0.021795,-0.0055396,0.012966,-0.036644,-0.003585,0.42506
0.0057594,-0.021816,-0.0054977,0.017186,-0.05024,-0.0048082,0.42533
0.0057777,-0.021804,-0.0055266,0.012966,-0.036644,-0.003585,0.42506
0.0053745,-0.022052,-0.0052288,0.019088,-0.023811,-0.0024606,0.43079
0.0056337,-0.021898,-0.0052286,0.016649,-0.020683,-0.0045222,0.4274
0.0057463,-0.021757,-0.0078501,0.0033499,-0.026199,-0.0050804,0.40648
0.0057579,-0.02175,-0.0078511,0.0066051,-0.039738,-0.0054821,0.41036
0.0057519,-0.021754,-0.0078505,0.0047424,-0.034594,-0.0066763,0.40688
0.0057488,-0.021756,-0.0078496,0.0033499,-0.026199,-0.0050804,0.40648
0.0056247,-0.021832,-0.0077593,0.03481,-0.1339,-0.024411,0.407
0.0061334,-0.021527,-0.0078585,0.0047119,-0.03044,0.00013618,0.41874
0.006184,-0.021497,-0.0078559,0.0038805,-0.020968,-0.00012238,0.4215
