"U:0","U:1","U:2","p","Cell Type"
3.38613018e-02,-1.03347003e-01,-1.71689000e-02,3.11944991e-01,5
3.38613018e-02,-1.03347003e-01,-1.71689000e-02,3.11944991e-01,5
3.38613018e-02,-1.03347003e-01,-1.71689000e-02,3.11944991e-01,5
6.90322965e-02,-1.78339005e-01,-2.30145007e-02,3.13930005e-01,5
1.33589998e-01,-2.56514996e-01,-3.21149006e-02,2.98280001e-01,5
1.33589998e-01,-2.56514996e-01,-3.21149006e-02,2.98280001e-01,5
4.27646004e-02,-1.33015007e-01,-2.15402003e-02,3.11087012e-01,5
4.27646004e-02,-1.33015007e-01,-2.15402003e-02,3.11087012e-01,5
7.77473999e-03,-4.71462011e-02,-9.28074960e-03,3.11515987e-01,5
3.59673984e-02,-1.25348002e-01,-2.76902001e-02,3.07146013e-01,5
3.59673984e-02,-1.25348002e-01,-2.76902001e-02,3.07146013e-01,5
7.03379000e-03,-3.29039991e-02,-7.30124023e-03,3.05040985e-01,5
2.49412991e-02,-9.50627029e-02,-2.12261006e-02,3.07251990e-01,5
2.49412991e-02,-9.50627029e-02,-2.12261006e-02,3.07251990e-01,5
1.11474000e-01,-9.02315974e-02,3.92065989e-03,3.20672989e-01,5
1.11474000e-01,-9.02315974e-02,3.92065989e-03,3.20672989e-01,5
1.11474000e-01,-9.02315974e-02,3.92065989e-03,3.20672989e-01,5
1.26506001e-01,-9.70292985e-02,7.91839976e-03,3.19090992e-01,5
1.26506001e-01,-9.70292985e-02,7.91839976e-03,3.19090992e-01,5
1.38218999e-01,-1.14228003e-01,4.76254011e-03,3.19238007e-01,5
1.38218999e-01,-1.14228003e-01,4.76254011e-03,3.19238007e-01,5
1.00109003e-01,-7.35500976e-02,7.40143983e-03,3.20533007e-01,5
1.00109003e-01,-7.35500976e-02,7.40143983e-03,3.20533007e-01,5
2.15014994e-01,-2.10549995e-01,-4.92756022e-03,3.15362990e-01,5
2.15014994e-01,-2.10549995e-01,-4.92756022e-03,3.15362990e-01,5
1.56179994e-01,-1.22635998e-01,4.82932013e-03,3.17436010e-01,5
1.56179994e-01,-1.22635998e-01,4.82932013e-03,3.17436010e-01,5
1.96494997e-01,-1.93053007e-01,-5.39038004e-03,3.17000002e-01,5
1.96494997e-01,-1.93053007e-01,-5.39038004e-03,3.17000002e-01,5
2.27057993e-01,-2.29209006e-01,-9.37957037e-03,3.15755993e-01,5
2.27057993e-01,-2.29209006e-01,-9.37957037e-03,3.15755993e-01,5
1.66575998e-01,-1.39284998e-01,-2.72267003e-04,3.17380995e-01,5
1.66575998e-01,-1.39284998e-01,-2.72267003e-04,3.17380995e-01,5
2.16500998e-01,-2.00810999e-01,-7.48192985e-03,3.12047005e-01,5
2.16500998e-01,-2.00810999e-01,-7.48192985e-03,3.12047005e-01,5
2.05488995e-01,-1.82349995e-01,-3.90317012e-03,3.12377989e-01,5
2.05488995e-01,-1.82349995e-01,-3.90317012e-03,3.12377989e-01,5
1.95236996e-01,-1.81573004e-01,-1.71653996e-03,3.14529002e-01,5
1.95236996e-01,-1.81573004e-01,-1.71653996e-03,3.14529002e-01,5
1.57850996e-01,-1.38411999e-01,3.62842996e-03,3.17487001e-01,5
1.57850996e-01,-1.38411999e-01,3.62842996e-03,3.17487001e-01,5
1.57850996e-01,-1.38411999e-01,3.62842996e-03,3.17487001e-01,5
1.40202999e-01,-1.00001998e-01,8.52864981e-03,3.17016989e-01,5
1.40202999e-01,-1.00001998e-01,8.52864981e-03,3.17016989e-01,5
1.81399003e-01,-1.61332995e-01,5.09614008e-04,3.14855993e-01,5
1.81399003e-01,-1.61332995e-01,5.09614008e-04,3.14855993e-01,5
1.18493997e-01,-7.10802972e-02,1.06894998e-02,3.16989988e-01,5
1.05054997e-01,-1.67695001e-01,-1.44162998e-02,2.99551010e-01,5
1.05054997e-01,-1.67695001e-01,-1.44162998e-02,2.99551010e-01,5
1.57659993e-01,-2.31656000e-01,-2.18959004e-02,3.00926000e-01,5
1.57659993e-01,-2.31656000e-01,-2.18959004e-02,3.00926000e-01,5
1.19295001e-01,-1.86970994e-01,-1.40677001e-02,3.03323001e-01,5
1.19295001e-01,-1.86970994e-01,-1.40677001e-02,3.03323001e-01,5
6.19731992e-02,-1.12983003e-01,-4.22991998e-03,3.09264004e-01,5
6.19731992e-02,-1.12983003e-01,-4.22991998e-03,3.09264004e-01,5
3.46697003e-01,-3.95388991e-01,-2.70291008e-02,3.09882998e-01,5
3.41773003e-01,-3.87984991e-01,-2.46251002e-02,3.10020000e-01,5
3.41773003e-01,-3.87984991e-01,-2.46251002e-02,3.10020000e-01,5
3.81549001e-01,-4.18523014e-01,-3.14767994e-02,2.93693006e-01,5
3.81549001e-01,-4.18523014e-01,-3.14767994e-02,2.93693006e-01,5
3.32666010e-01,-4.15573001e-01,-3.39337997e-02,2.92699009e-01,5
3.32666010e-01,-4.15573001e-01,-3.39337997e-02,2.92699009e-01,5
3.63454014e-01,-3.97630006e-01,-3.15623991e-02,2.94137001e-01,5
3.22414994e-01,-3.97455990e-01,-3.06749009e-02,2.93669999e-01,5
3.22414994e-01,-3.97455990e-01,-3.06749009e-02,2.93669999e-01,5
3.43948007e-01,-4.08315003e-01,-2.68511996e-02,2.99493998e-01,5
3.43948007e-01,-4.08315003e-01,-2.68511996e-02,2.99493998e-01,5
3.43948007e-01,-4.08315003e-01,-2.68511996e-02,2.99493998e-01,5
3.52041006e-01,-4.23308015e-01,-2.96323001e-02,2.98642993e-01,5
3.52041006e-01,-4.23308015e-01,-2.96323001e-02,2.98642993e-01,5
3.80486995e-01,-4.29367989e-01,-3.05895992e-02,2.99775988e-01,5
3.80486995e-01,-4.29367989e-01,-3.05895992e-02,2.99775988e-01,5
3.68665010e-01,-4.18327987e-01,-3.58932018e-02,3.04729015e-01,5
3.68665010e-01,-4.18327987e-01,-3.58932018e-02,3.04729015e-01,5
