"U:0","U:1","U:2","p","Cell Type"
1.67529006e-02,-3.62245999e-02,-8.57677031e-03,4.31665987e-01,5
1.67529006e-02,-3.62245999e-02,-8.57677031e-03,4.31665987e-01,5
1.67529006e-02,-3.62245999e-02,-8.57677031e-03,4.31665987e-01,5
4.54218984e-02,-9.02116969e-02,-1.90006997e-02,4.31641996e-01,5
7.48390034e-02,-1.51870996e-01,-2.66705994e-02,4.30004001e-01,5
7.48390034e-02,-1.51870996e-01,-2.66705994e-02,4.30004001e-01,5
4.74156998e-02,-9.18335021e-02,-1.94211006e-02,4.31562990e-01,5
4.74156998e-02,-9.18335021e-02,-1.94211006e-02,4.31562990e-01,5
6.97114021e-02,-1.44713998e-01,-2.37875003e-02,4.29836005e-01,5
6.97114021e-02,-1.44713998e-01,-2.37875003e-02,4.29836005e-01,5
6.97114021e-02,-1.44713998e-01,-2.37875003e-02,4.29836005e-01,5
7.52172992e-03,-5.53278998e-03,-3.84558993e-03,4.08428013e-01,5
7.52172992e-03,-5.53278998e-03,-3.84558993e-03,4.08428013e-01,5
7.52172992e-03,-5.53278998e-03,-3.84558993e-03,4.08428013e-01,5
9.44718998e-03,-6.26758998e-03,-5.70175983e-03,4.08037007e-01,5
1.72859002e-02,-1.21331001e-02,1.05161998e-04,4.17964011e-01,5
1.72859002e-02,-1.21331001e-02,1.05161998e-04,4.17964011e-01,5
2.65354998e-02,-2.00332999e-02,2.14684010e-03,4.16106999e-01,5
2.65354998e-02,-2.00332999e-02,2.14684010e-03,4.16106999e-01,5
1.61739998e-02,-1.21509004e-02,-7.99924019e-04,4.17154014e-01,5
1.61739998e-02,-1.21509004e-02,-7.99924019e-04,4.17154014e-01,5
4.74621989e-02,-3.80859002e-02,-2.43351003e-03,4.17869002e-01,5
4.74621989e-02,-3.80859002e-02,-2.43351003e-03,4.17869002e-01,5
1.14880996e-02,-8.24563019e-03,-9.65814979e-04,4.19362992e-01,5
1.14880996e-02,-8.24563019e-03,-9.65814979e-04,4.19362992e-01,5
3.55847999e-02,-3.00466008e-02,-4.26037004e-03,4.17436004e-01,5
3.55847999e-02,-3.00466008e-02,-4.26037004e-03,4.17436004e-01,5
2.24047005e-02,-1.80721991e-02,-1.09216002e-04,4.18128997e-01,5
2.24047005e-02,-1.80721991e-02,-1.09216002e-04,4.18128997e-01,5
8.56277999e-03,-6.24307012e-03,4.60854004e-04,4.18927997e-01,5
