"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.043527,-0.12328,0.010057,0.074752,0.016127,-0.033994,-0.0056879
0.10719,-0.23082,0.053635,0.076737,0.01601,-0.034049,-0.0056897
0.09469,-0.20464,0.042586,0.079722,0.016012,-0.034044,-0.0056267
0.051451,-0.14494,0.015792,0.077874,0.016074,-0.034014,-0.0056264
0.034292,-0.10027,0.0087902,0.079254,0.016133,-0.033987,-0.0056276
0.0279,-0.084645,0.0071554,0.082132,0.016133,-0.033987,-0.0056264
0.00022907,-0.0028419,0.0041373,0.089351,0.016134,-0.033947,-0.0050592
-0.00025741,-0.0010603,0.0030968,0.089274,0.016152,-0.033933,-0.0049805
-3.4304e-05,-0.0013776,0.0018933,0.089392,0.016169,-0.033931,-0.0050704
0.00159,-0.0076006,0.0072575,0.089387,0.016132,-0.033953,-0.0051234
0.00028523,-0.0029807,0.0028122,0.089456,0.016174,-0.033933,-0.0051261
0.011333,-0.035543,0.016486,0.089633,0.016044,-0.033999,-0.0051862
0.0070314,-0.024041,0.013279,0.089578,0.016035,-0.033998,-0.0051223
0.0044581,-0.015555,0.013834,0.089349,0.016073,-0.03398,-0.0051226
0.0065911,-0.021386,0.015731,0.089313,0.016072,-0.033985,-0.0051864
0.011381,-0.032781,0.019975,0.089438,0.016072,-0.03399,-0.0052498
0.002966,-0.013447,0.0084485,0.089524,0.016129,-0.033962,-0.0052499
0.0020199,-0.008997,0.0068629,0.089395,0.016129,-0.033958,-0.0051868
0.0007342,-0.00611,0.0037803,0.089628,0.016167,-0.033944,-0.0052462
0.00076184,-0.0052413,0.0038156,0.089425,0.01617,-0.033938,-0.005186
0.0056719,0.013434,-0.013417,0.085559,0.014353,-0.034784,-0.0049343
0.0025809,0.0067724,-0.007458,0.08554,0.014301,-0.034808,-0.0049355
0.006102,0.014226,-0.014236,0.085876,0.014355,-0.034779,-0.0048734
0.0029323,0.0071674,-0.0080215,0.085929,0.014309,-0.0348,-0.0048737
0.0054666,0.012497,-0.012726,0.085351,0.014351,-0.034788,-0.0049892
0.0025241,0.0064443,-0.0072986,0.085257,0.014294,-0.034816,-0.0049992
0.0093374,0.022637,-0.020943,0.085607,0.014427,-0.034746,-0.0048991
0.0059637,0.016221,-0.015395,0.085855,0.014425,-0.034745,-0.0048736
0.0063408,0.020967,-0.019081,0.085697,0.014427,-0.034744,-0.0048736
0.010087,0.027617,-0.026242,0.085585,0.014489,-0.034719,-0.0049358
0.01243,0.026117,-0.02827,0.085472,0.01449,-0.034723,-0.0049984
0.012787,0.025816,-0.024466,0.085369,0.014441,-0.034746,-0.0049984
